,symbol,MarketCap
765,TGPRO.BK,283167584.0
766,TH.BK,569057152.0
767,THAI.BK,410397736960.0
768,THANA.BK,271827520.0
769,THANI.BK,11399671808.0
770,THCOM.BK,11509070848.0
771,THE.BK,958793472.0
772,THG.BK,9515522048.0
773,THIP.BK,2317491968.0
774,THMUI.BK,132599992.0
775,THRE.BK,1938897280.0
776,THREL.BK,787400000.0
777,TIDLOR.BK,59076964352.0
778,TIF1.BK,643500032.0
779,TIGER.BK,193200000.0
780,TIPCO.BK,4126056192.0
781,TIPH.BK,13609294848.0
782,TISCO.BK,79864397824.0
783,TITLE.BK,3222068992.0
784,TK.BK,2450000128.0
785,TKC.BK,3800000000.0
786,TKN.BK,8462999552.0
787,TKS.BK,3022845440.0
788,TKT.BK,399889184.0
789,TLHPF.BK,681120000.0
790,TLI.BK,122515005440.0
791,TM.BK,332640224.0
792,TMC.BK,362452000.0
793,TMD.BK,3900000000.0
794,TMI.BK,409580064.0
795,TMILL.BK,893007488.0
796,TMT.BK,2734180352.0
797,TMW.BK,2144625024.0
798,TNDT.BK,259737424.0
799,TNH.BK,5849999872.0
800,TNITY.BK,583181184.0
801,TNL.BK,8834057216.0
802,TNP.BK,2560000000.0
803,TNPC.BK,316956960.0
804,TNPF.BK,207936272.0
805,TNR.BK,2024999936.0
806,TOA.BK,28303333376.0
807,TOG.BK,3462521600.0
808,TOP.BK,82651914240.0
809,TOPP.BK,831000000.0
810,TPA.BK,349920000.0
811,TPAC.BK,2661382144.0
812,TPBI.BK,1250639744.0
813,TPCH.BK,1171504000.0
814,TPCS.BK,1274400000.0
815,TPIPL.BK,15148187648.0
816,TPIPP.BK,18816000000.0
817,TPL.BK,340600000.0
818,TPLAS.BK,259200000.0
819,TPOLY.BK,280652160.0
820,TPP.BK,431249984.0
821,TPRIME.BK,3887250176.0
822,TPS.BK,1418585216.0
823,TQM.BK,8669010944.0
824,TQR.BK,1264999936.0
825,TR.BK,5292000256.0
826,TRC.BK,950451712.0
827,TRITN.BK,875871552.0
828,TRP.BK,1912800768.0
829,TRT.BK,973306112.0
830,TRU.BK,2714059264.0
831,TRUBB.BK,678753920.0
832,TRUE.BK,393893904384.0
833,TRV.BK,475200000.0
834,TSC.BK,3611219968.0
835,TSE.BK,1142216832.0
836,TSI.BK,95145688.0
837,TSTE.BK,4178266112.0
838,TSTH.BK,6231940096.0
839,TTA.BK,8846299136.0
840,TTB.BK,177431494656.0
841,TTCL.BK,486640064.0
842,TTI.BK,1350000000.0
843,TTLPF.BK,1926000000.0
844,TTT.BK,2834160128.0
845,TTW.BK,36309004288.0
846,TU-PF.BK,86510896.0
847,TU.BK,47803162624.0
848,TURTLE.BK,10252593152.0
849,TVDH.BK,157713184.0
850,TVH.BK,2728066816.0
851,TVO.BK,22903883776.0
852,TVT.BK,248009328.0
853,TWP.BK,325683552.0
854,TWPC.BK,2007359744.0
855,TWZ.BK,595827136.0
856,TYCN.BK,1056245568.0
857,UAC.BK,1989466496.0
858,UBA.BK,564000000.0
859,UBE.BK,2074571520.0
860,UBIS.BK,342000320.0
861,UEC.BK,462113568.0
862,UKEM.BK,780409600.0
863,UMI.BK,761219392.0
864,UMS.BK,620970816.0
865,UNIQ.BK,3610594048.0
866,UOBKH.BK,2688099840.0
867,UP.BK,542500032.0
868,UPF.BK,195000000.0
869,UPOIC.BK,2122527488.0
870,UREKA.BK,978754816.0
871,UTP.BK,5070000128.0
